Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
1574,1573,2012-12-01,ICOMP,145,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1582,1581,2012-12-01,Aids is Going to Lose,142,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1605,1604,2012-11-24,Carbon Trust,83,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1626,1625,2012-11-17,IMD,131,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1639,1638,2012-11-17,KIA,13,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1648,1647,2012-11-10,Capital spreads,110,0,True,Editorial/Article,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1649,1648,2012-11-10,Which MBA?,635,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1662,1661,2012-11-10,Cheung Kong Graduate School of Business,161,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1667,1666,2012-11-10,Blackrock,463,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1697,1696,2012-10-27,MFS,114,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1706,1705,2012-10-27,RBC Wealth Management,95,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1707,1706,2012-10-20,Patek Philippe,36,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1712,1711,2012-10-20,Capital spreads,361,0,True,Editorial/Article,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1740,1739,2012-10-13,Mercedes-Benz,143,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1770,1769,2012-10-06,Eastern Poland?,64,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1775,1774,2012-10-06,Georgia,237,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1779,1778,2012-10-06,Schneider Electric,413,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
