Brand_Key,Sector,Ads
cassa di risparmio di genova e imperia,Other / unclassified,47
columbia business school,"Education, jobs & conferences",47
paper bulletin,"Energy, industry & materials",46
longmans,Other / unclassified,46
geneva s private bankers,Other / unclassified,46
simon carves,Other / unclassified,46
kleinwort sons,Other / unclassified,46
europartners,Other / unclassified,46
royal bank,Banking & finance,46
union bank of australia,Banking & finance,46
fujitsu siemens computers,Technology & electronics,46
generali,Other / unclassified,46
berlitz,Other / unclassified,46
player s no 3,Other / unclassified,46
cemex,Other / unclassified,46
scandinavian bank group,Banking & finance,46
pearson,Other / unclassified,46
irvine new town,Other / unclassified,46
national commercial bank,Banking & finance,46
bosch,Other / unclassified,46
yamaichi securities,Banking & finance,46
degussa,Other / unclassified,45
affairs,Other / unclassified,45
brown shipley,Other / unclassified,45
g j weir,Other / unclassified,45
hambros bank,Banking & finance,45
british aircraft,Other / unclassified,45
pressed steel,"Energy, industry & materials",45
sap,Other / unclassified,45
east african,Other / unclassified,45
swire group,Other / unclassified,45
ameritech,Other / unclassified,45
riegel paper,"Energy, industry & materials",45
india,Other / unclassified,45
harvard business school,"Education, jobs & conferences",44
yoshida kogyo k k,Other / unclassified,44
imperial,Other / unclassified,44
roneo,Other / unclassified,44
chase is on,Banking & finance,44
aviva,Banking & finance,44
economist conference unit,"Education, jobs & conferences",44
westpac,Other / unclassified,44
observer,Other / unclassified,44
blackwood hodge,Other / unclassified,44
republic national bank of new york,Banking & finance,44
peoplesoft,Other / unclassified,44
automatic telephone electric,Technology & electronics,43
conference hotel,Air travel & hotels,43
goodwood park hotel,Air travel & hotels,43
alexanders discount,Other / unclassified,43
clive discount,Other / unclassified,43
newsweek,Other / unclassified,43
banco ambrosiano,Banking & finance,43
international finance,Banking & finance,43
methuen,Other / unclassified,43
meridien,Other / unclassified,43
dresdner kleinwort benson,Other / unclassified,43
hutchison whampoa hwl,Other / unclassified,43
atlanta,Other / unclassified,43
saudi arabian airlines,Air travel & hotels,43
english scottish australian bank,Banking & finance,43
schneider electric,"Energy, industry & materials",43
emc2,Other / unclassified,43
ida ireland,Other / unclassified,43
nyk line nippon yusen kaisha,Other / unclassified,43
shangri la,Other / unclassified,43
scottish new towns,Other / unclassified,43
high speed gas,"Energy, industry & materials",43
fenner,Other / unclassified,43
